Time (min),Time(s),Time(ms),Temperature(C),Humidity(% Relative),Pressure(hPa),Altitude(m)                        
82,4920,4920000,13.67,77.25585938,1034.010469,-171
82.5,4950,4950000,13.67,76.90429688,1033.964414,-163
83,4980,4980000,13.66,77.84472656,1034.029375,-163
83.5,5010,5010000,13.6,78.56152344,1033.951953,-163
84,5040,5040000,13.67,77.10058594,1033.909453,-163
84.5,5070,5070000,13.69,77.12402344,1033.83457,-163
85,5100,5100000,13.71,76.46777344,1033.860703,-163
85.5,5130,5130000,13.72,76.16699219,1033.859336,-163
86,5160,5160000,13.7,77.48925781,1033.870664,-163
86.5,5190,5190000,13.66,78.27636719,1033.836914,-163
87,5220,5220000,13.66,78.32617188,1033.855508,-163
87.5,5250,5250000,13.68,77.62304688,1033.945508,-163
88,5280,5280000,13.63,78.54589844,1033.968125,-163
88.5,5310,5310000,13.7,77.34179688,1033.934219,-163
89,5340,5340000,13.72,77.27636719,1033.859336,-163
89.5,5370,5370000,13.73,77.15136719,1033.849375,-163
90,5400,5400000,13.74,77.40820313,1033.756953,-163
90.5,5430,5430000,13.75,77.14453125,1033.829453,-163
91,5460,5460000,13.74,78.15429688,1033.83082,-163
91.5,5490,5490000,13.7,78.39160156,1033.870664,-163
92,5520,5520000,13.74,78.80175781,1033.784414,-163
92.5,5550,5550000,13.78,78.16113281,1033.85457,-163
93,5580,5580000,13.77,78.21875,1033.69957,-163
93.5,5610,5610000,13.81,77.63671875,1033.714375,-163
94,5640,5640000,13.83,76.92382813,1033.694453,-163
94.5,5670,5670000,13.82,77.87207031,1033.594414,-163
95,5700,5700000,13.82,78.49316406,1033.575508,-163
95.5,5730,5730000,13.83,77.85644531,1033.639453,-163
96,5760,5760000,13.83,78.13085938,1033.565547,-163
96.5,5790,5790000,13.78,78.328125,1033.588242,-163
97,5820,5820000,13.79,78.80175781,1033.624297,-163
97.5,5850,5850000,13.79,78.3203125,1033.679297,-163
98,5880,5880000,13.83,78.0234375,1033.675547,-163
98.5,5910,5910000,13.79,78.3984375,1033.660742,-163
99,5940,5940000,13.79,78.45800781,1033.734297,-163
99.5,5970,5970000,13.77,78.53027344,1033.553164,-163
100,6000,6000000,13.81,78.71679688,1033.64082,-163
100.5,6030,6030000,13.83,79.07324219,1033.721953,-163
101,6060,6060000,13.86,77.703125,1033.55457,-163
101.5,6090,6090000,13.89,77.68847656,1033.579258,-163
102,6120,6120000,13.9,76.62988281,1033.541836,-163
102.5,6150,6150000,13.92,76.69238281,1033.549375,-163
103,6180,6180000,13.92,76.859375,1033.576875,-163
103.5,6210,6210000,13.92,77.45898438,1033.494375,-163
104,6240,6240000,13.94,76.98242188,1033.538047,-163
104.5,6270,6270000,13.95,76.93359375,1033.491953,-163
105,6300,6300000,13.95,77.27734375,1033.464453,-163
105.5,6330,6330000,13.95,77.31835937,1033.528047,-163
106,6360,6360000,13.96,77.20117187,1033.509141,-163
106.5,6390,6390000,13.97,77.37890625,1033.471641,-163
107,6420,6420000,13.97,77.49707031,1033.444141,-163
107.5,6450,6450000,13.98,76.6640625,1033.48918,-163
108,6480,6480000,13.98,77.22363281,1033.470625,-163
108.5,6510,6510000,13.97,77.6953125,1033.370586,-163
109,6540,6540000,13.98,77.58789063,1033.388125,-163
109.5,6570,6570000,13.99,77.57128906,1033.405664,-163
110,6600,6600000,14,76.43164063,1033.359219,-163
110.5,6630,6630000,13.96,77.91796875,1033.371641,-163
111,6660,6660000,13.98,77.68554688,1033.388125,-163
111.5,6690,6690000,14,76.82519531,1033.414219,-163
112,6720,6720000,14,75.90136719,1033.340313,-163
112.5,6750,6750000,14.01,76.25683594,1033.349258,-163
113,6780,6780000,14.02,75.89453125,1033.421758,-163
113.5,6810,6810000,14.01,76.85742187,1033.440312,-163
114,6840,6840000,14.01,77.4375,1033.467852,-163
114.5,6870,6870000,14.01,77.27050781,1033.467852,-163
115,6900,6900000,13.99,78.17089844,1033.405664,-163
116.5,6990,6990000,13.97,78.81445312,1033.425586,-163
118.5,7110,7110000,13.97,78.67773438,1033.315586,-163
119,7140,7140000,13.95,78.13378906,1033.583047,-163
119.5,7170,7170000,13.93,77.78613281,1033.548008,-163
120,7200,7200000,13.93,78.48144531,1033.401914,-163
120.5,7230,7230000,13.91,78.97070313,1033.320469,-163
121,7260,7260000,13.9,78.93945312,1033.330781,-163
121.5,7290,7290000,13.93,78.50097656,1033.429375,-163
122,7320,7320000,13.94,78.75878906,1033.391953,-163
122.5,7350,7350000,13.93,77.75683594,1033.300508,-163
123,7380,7380000,13.9,78.40722656,1033.459336,-163
123.5,7410,7410000,13.82,77.84277344,1033.511953,-163
124,7440,7440000,13.83,78.1015625,1033.455547,-163
124.5,7470,7470000,13.85,77.41796875,1033.463125,-163
125.5,7530,7530000,13.8,77.69238281,1033.366914,-163
127.5,7650,7650000,13.74,78.06542969,1033.281016,-163
128,7680,7680000,13.71,77.76367188,1033.365859,-163
128.5,7710,7710000,13.73,77.64941406,1033.263477,-163
129,7740,7740000,13.7,77.16503906,1033.183398,-163
129.5,7770,7770000,13.67,77.62890625,1033.268242,-163
130.5,7830,7830000,13.61,77.97363281,1033.309805,-163
131,7860,7860000,13.62,77.65332031,1033.354492,-163
132,7920,7920000,13.58,77.67382813,1033.440664,-163
132.5,7950,7950000,13.49,78.63964844,1033.475625,-163
133,7980,7980000,13.51,77.94726563,1033.492148,-163
133.5,8010,8010000,13.51,77.9765625,1033.244844,-163
134,8040,8040000,13.46,77.69238281,1033.212148,-163
134.5,8070,8070000,13.43,77.7265625,1033.214844,-163
135,8100,8100000,13.43,77.7265625,1033.425703,-163
135.5,8130,8130000,13.4,78.1328125,1033.373477,-163
137,8220,8220000,13.36,78.62597656,1033.495664,-163
